dataset,model,attack_score,score_role,metric,point_hardened,ci_lower_hardened,ci_upper_hardened,ci_width_hardened,confidence,n_bootstrap_hardened,random_state,n_members,n_nonmembers,point_stage1,ci_lower_stage1,ci_upper_stage1,ci_width_stage1,n_bootstrap_stage1,ci_width_ratio_hardened_over_stage1
bank_marketing,extra_trees,neg_loss,best_auc_score;canonical_neg_loss,TPR@1%FPR,0.0437010904425914,0.0426005173600007,0.0448169858119166,0.0022164684519158,0.95,1000,20263304,20594,20594,0.0437010904425914,0.0427607173367747,0.0447052599929855,0.0019445426562108,50,1.1398404888864118
bank_marketing,extra_trees,neg_loss,best_auc_score;canonical_neg_loss,TPR@0.1%FPR,0.0043701090442591,0.0042607567229518,0.0044814843289594,0.0002207276060076,0.95,1000,20263305,20594,20594,0.0043701090442591,0.0042559862648849,0.0044586624168864,0.0002026761520015,50,1.089065505871487
bank_marketing,small_mlp,modified_entropy,best_auc_score,AUC,0.507055381837111,0.501516070183266,0.5126842897534938,0.0111682195702277,0.95,1000,20263403,20594,20594,0.507055381837111,0.5032186389072176,0.5118798105653186,0.0086611716581009,50,1.289458287064652
bank_marketing,small_mlp,modified_entropy,best_auc_score,TPR@1%FPR,0.0115567641060503,0.0090791007089443,0.0136447508983198,0.0045656501893755,0.95,1000,20263404,20594,20594,0.0115567641060503,0.0090863843838011,0.0132502185102457,0.0041638341264445,50,1.0965014577259615
bank_marketing,small_mlp,modified_entropy,best_auc_score,TPR@0.1%FPR,0.0010682723123239,0.0005814800427308,0.0016995241332426,0.0011180440905117,0.95,1000,20263405,20594,20594,0.0010682723123239,0.0005826939885403,0.0015805574439157,0.0009978634553753,50,1.1204379562043385
bank_marketing,small_mlp,neg_loss,canonical_neg_loss,AUC,0.5070553747635217,0.501694942805268,0.5126150545818424,0.0109201117765743,0.95,1000,20263503,20594,20594,0.5070553747635217,0.5032186455092342,0.5118797813278163,0.008661135818582,50,1.260817519238734
bank_marketing,small_mlp,neg_loss,canonical_neg_loss,TPR@1%FPR,0.0115567641060503,0.0089346411576187,0.0134505195688064,0.0045158784111877,0.95,1000,20263504,20594,20594,0.0115567641060503,0.0090863843838011,0.0132502185102457,0.0041638341264445,50,1.0845481049562873
bank_marketing,small_mlp,neg_loss,canonical_neg_loss,TPR@0.1%FPR,0.0010682723123239,0.0005329222103525,0.0016995241332426,0.0011666019228901,0.95,1000,20263505,20594,20594,0.0010682723123239,0.0005826939885403,0.0015805574439157,0.0009978634553753,50,1.1690997566909962
diabetes_readmission,logistic_regression,neg_loss,best_auc_score;canonical_neg_loss,AUC,0.503825830484123,0.500479995905603,0.5073758134719198,0.0068958175663168,0.95,1000,20263603,50883,50883,0.503825830484123,0.5001093255554098,0.5065576596665349,0.0064483341111251,50,1.0693952030834866
diabetes_readmission,logistic_regression,neg_loss,best_auc_score;canonical_neg_loss,TPR@1%FPR,0.0105929288760489,0.009512017766248,0.0117721046321954,0.0022600868659473,0.95,1000,20263604,50883,50883,0.0105929288760489,0.0094972780692962,0.0119573334905567,0.0024600554212605,50,0.9187138006790356
diabetes_readmission,logistic_regression,neg_loss,best_auc_score;canonical_neg_loss,TPR@0.1%FPR,0.0010022993927244,0.0006288937366114,0.0014543167659139,0.0008254230293025,0.95,1000,20263605,50883,50883,0.0010022993927244,0.000746811312226,0.0013560521195684,0.0006092408073423,50,1.354838709677467
diabetes_readmission,hist_gradient_boosting,neg_loss,best_auc_score;canonical_neg_loss,AUC,0.5068766792214405,0.5031471129044881,0.5105989152503061,0.0074518023458179,0.95,1000,20263703,50883,50883,0.5068766792214405,0.5034551129067237,0.50944979866454,0.0059946857578162,50,1.243068051749307
